Date,FUND_NET_ASSET_VAL,TOT_RETURN_INDEX_GROSS_DVDS,ALL_BROKERS_ADV_TOT_AGGR_VOL,FUND_FLOW,PX_LAST,TURNOVER,PX_VOLUME,AVERAGE_BID_ASK_SPREAD
2/27/2023,50.7113,69.3478,1253613,193.5683,50.763,3.83E+08,7071670,0.0096
2/24/2023,50.5891,69.1552,1355982,179.3673,50.622,2.54E+08,4727841,0.0097
2/23/2023,50.9561,69.6817,1151158,118.3929,51.0074,2.20E+08,4055820,0.0095
2/22/2023,50.8666,69.5533,1044405,96.2146,50.9134,2.45E+08,4520806,0.0099
2/21/2023,50.987,69.746,1085375,91.9873,51.0544,2.98E+08,5479747,0.0099
2/17/2023,51.607,70.5036,1327722,104.4086,51.6091,2.16E+08,3952094,0.0098
2/16/2023,51.4594,70.3752,1261817,115.2853,51.5151,2.60E+08,4742182,0.0096
2/15/2023,51.753,70.7476,1394067,58.8464,51.7877,2.20E+08,4005242,0.0097
2/14/2023,51.6562,70.5679,1390723,93.5902,51.6561,2.71E+08,4925683,0.0096
2/13/2023,51.7648,70.7091,1881051,116.7691,51.7595,1.93E+08,3512007,0.0095
2/10/2023,51.4767,70.3367,1058678,156.9371,51.4869,2.39E+08,4380893,0.0105
2/9/2023,51.1148,69.9001,1432429,93.0906,51.1672,2.03E+08,3725138,0.0096
2/8/2023,51.3319,70.1441,1114377,54.3742,51.3458,2.39E+08,4377858,0.0098
2/7/2023,51.5069,70.3881,1264506,28.6677,51.5245,2.38E+08,4355460,0.0099
2/6/2023,51.4949,70.3624,1235495,58.9006,51.5057,2.52E+08,4600767,0.0097
2/3/2023,51.44,70.234,1439303,41.084,51.4117,4.55E+08,8327883,0.0096
2/2/2023,51.5196,70.555,1688920,158.6886,51.6467,5.32E+08,9691274,0.0097
2/1/2023,51.737,70.6834,1862835,0,51.7407,3.48E+08,6340438,0.0102
1/31/2023,51.6485,70.6657,1468021,96.3132,51.7276,3.89E+08,7036973,0.0099
1/30/2023,51.2486,70.0924,2055465,181.3866,51.3079,3.07E+08,5568170,0.0097
1/27/2023,51.2755,70.0924,1396971,215.7038,51.3079,3.07E+08,5570485,0.0097
1/26/2023,51.4018,70.309,1598067,142.9616,51.4665,5.34E+08,9693798,0.0098
1/25/2023,51.3982,70.2708,1683251,300.4076,51.4385,3.07E+08,5590147,0.0101
1/24/2023,51.4346,70.309,1518101,203.9321,51.4665,3.15E+08,5721266,0.0099
1/23/2023,51.3379,70.2198,1585162,219.2444,51.4012,3.54E+08,6425052,0.0098
1/20/2023,51.2986,70.0797,1807776,64.6863,51.2986,2.24E+08,4096376,0.0105
1/19/2023,50.8789,69.5956,1176806,105.8942,50.9443,2.40E+08,4390912,0.0102
1/18/2023,51.1752,69.9778,1198958,69.5638,51.224,3.20E+08,5801922,0.0098
1/17/2023,51.8059,70.7804,1352617,96.0359,51.8115,2.24E+08,4028733,0.0106
1/13/2023,51.9271,70.9587,1173756,34.7213,51.9421,2.02E+08,3628311,0.0102
1/12/2023,51.8335,70.7804,1213577,137.8179,51.8115,2.79E+08,5012990,0.0111
1/11/2023,51.739,70.7039,1397414,65.3107,51.7556,2.52E+08,4556383,0.0104
1/10/2023,51.408,70.309,1660423,49.9341,51.4665,2.57E+08,4676095,0.0103
1/9/2023,51.2602,70.0924,1476557,107.4981,51.3079,3.53E+08,6390574,0.0106
1/6/2023,51.4426,70.2963,1523221,122.3055,51.4571,2.70E+08,4908688,0.0123
1/5/2023,50.4774,69.0223,1418134,137.9111,50.5246,1.89E+08,3479956,0.0111
1/4/2023,51.0083,69.7357,1106839,52.7762,51.0468,1.93E+08,3526948,0.0118
1/3/2023,50.7272,69.3918,815362,98.4575,50.795,1.99E+08,3670129,0.0122
12/30/2022,50.7795,69.4172,638876,36.7181,50.8137,2.17E+08,4000273,0.0104
