Date,FUND_NET_ASSET_VAL,TOT_RETURN_INDEX_GROSS_DVDS,ALL_BROKERS_ADV_TOT_AGGR_VOL,FUND_FLOW,PX_LAST,TURNOVER,PX_VOLUME,AVERAGE_BID_ASK_SPREAD
10/26/2022,23.7392,24.5647,220179,9.5976,23.7504,41244500,1705790,0.0111
10/25/2022,23.8033,24.6157,196987,4.8177,23.7997,38635560,1605624,0.0102
10/24/2022,23.4069,24.208,230182,9.6614,23.4055,42868760,1807639,0.0112
10/21/2022,23.1387,23.9328,255741,47.5028,23.1394,58689980,2522654,0.0109
10/20/2022,22.6033,23.3925,276127,0,22.6171,44364000,1925718,0.0109
10/19/2022,22.825,23.6066,257997,18.3488,22.8241,42211030,1823522,0.0105
10/18/2022,23.046,23.841,236879,9.2644,23.0507,48758740,2086706,0.0103
10/17/2022,22.7724,23.5658,227198,0,22.7847,47848350,2071161,0.0111
10/14/2022,22.2248,23.0052,263693,20.7968,22.2426,50318660,2213351,0.0105
10/13/2022,22.7479,23.5352,240154,11.276,22.7551,69296480,3037647,0.0107
10/12/2022,22.1758,22.9237,221727,18.4662,22.1638,59336240,2626385,0.0104
10/11/2022,22.2547,23.0256,233008,15.7515,22.2623,54801750,2424500,0.0108
10/10/2022,22.3606,23.1377,213733,45.1644,22.3708,57662270,2538536,0.0106
10/7/2022,22.4878,23.2702,244557,11.3448,22.4989,44188930,1933383,0.0104
10/6/2022,23.0811,23.8716,219999,6.8456,23.0803,68423220,2915125,0.0102
10/5/2022,23.2648,24.0755,267324,9.3683,23.2774,53270000,2261429,0.0111
10/4/2022,23.3032,24.106,281106,0,23.307,53111560,2256281,0.0115
10/3/2022,22.5442,23.3212,341937,21.2816,22.5481,74957740,3282041,0.0112
9/30/2022,21.8992,22.6689,478319,6.8628,21.9174,69420060,3095556,0.0103
9/29/2022,22.1797,22.9441,301393,19.9993,22.1835,76912030,3426705,0.0111
9/28/2022,22.6118,23.3925,338673,2.2506,22.6171,60179160,2631577,0.0113
9/27/2022,22.1113,22.8829,372899,6.8834,22.1244,73906170,3290699,0.0109
9/26/2022,22.122,22.8829,417128,8.9747,22.1244,85216820,3772376,0.0104
9/23/2022,22.3886,23.1785,341406,6.7343,22.4102,67110860,2966231,0.0102
9/22/2022,22.8283,23.6066,359618,34.0772,22.8241,75341660,3244556,0.0111
9/21/2022,23.1051,23.8818,206662,6.9493,23.0902,31350550,1315546,0.0143
9/20/2022,23.4689,24.2691,178959,42.2014,23.4647,59995660,2520589,0.0112
9/19/2022,23.7682,24.5856,273510,7.1443,23.7718,32082680,1332127,0.0107
9/16/2022,23.5598,24.3521,108036,14.5238,23.546,30320690,1268590,0.0105
9/15/2022,23.7916,24.6161,205819,-7.1982,23.8013,33479800,1376881,0.011
9/14/2022,24.0027,24.8395,173159,12.1151,24.0173,40413290,1657118,0.0105
9/13/2022,23.9569,24.7887,249312,4.889,23.9682,34400540,1396951,0.0102
9/12/2022,24.9727,25.8449,183910,21.9586,24.9894,32635460,1284698,0.0107
9/9/2022,24.7194,25.5808,97818,0,24.7341,22963470,912920,0.0113
9/8/2022,24.3253,25.1645,122603,30.2101,24.3315,31305200,1268912,0.0115
9/7/2022,24.1488,24.9817,231688,9.9095,24.1548,47852650,1954770,0.0116
9/6/2022,23.7228,24.5552,170871,7.3782,23.7424,27083480,1119503,0.0115
9/2/2022,23.8618,24.6973,250774,26.5761,23.8798,29326670,1197023,0.0109
9/1/2022,24.0601,24.9004,119134,7.2905,24.0762,44037430,1809934,0.0108
8/31/2022,24.0766,24.9106,232016,14.7022,24.086,40901260,1659898,0.011
8/30/2022,24.2591,25.1035,121427,4.9041,24.2726,31818800,1287196,0.0114
8/29/2022,24.5505,25.398,152512,9.8825,24.5573,31156780,1240719,0.0111
8/26/2022,24.7171,25.5707,161444,7.5009,24.7243,30495060,1199723,0.0128
8/25/2022,25.5376,26.4237,134753,2.5173,25.5491,18031410,697559,0.0118
8/24/2022,25.1552,26.0277,71920,13.0041,25.1661,22720760,886934,0.0116
8/23/2022,25.0722,25.9261,91661,25.6189,25.0679,24233000,946904,0.0121
8/22/2022,25.09,25.9667,128297,12.7672,25.1072,30830040,1202878,0.0126
8/19/2022,25.6165,26.4948,145964,12.7762,25.6178,22391290,857443,0.0129
8/18/2022,25.9648,26.8604,101230,2.6089,25.9713,22570040,854511,0.0127
8/17/2022,25.831,26.7182,185845,5.2887,25.8338,29232990,1110648,0.0116
8/16/2022,26.0568,26.9518,161155,60.5063,26.0596,42033490,1584245,0.0119
8/15/2022,25.9616,26.8705,669990,2.6537,25.9811,51206280,1940038,0.0118
8/12/2022,25.9033,26.7995,144976,7.9321,25.9124,20537610,783197,0.0128
8/11/2022,25.4854,26.3729,87507,23.7427,25.5,36575920,1404930,0.0124
8/10/2022,25.4024,26.2714,127932,7.7866,25.4018,32720930,1266554,0.0121
8/9/2022,24.8535,25.7027,143778,0,24.8519,28258840,1116229,0.0114
8/8/2022,25.0039,25.8652,226067,15.187,25.009,23716700,929539,0.0121
8/5/2022,24.9657,25.8246,163673,7.6394,24.9697,37118020,1463400,0.0102
8/4/2022,24.9183,25.7738,139407,22.8833,24.9206,33820750,1331001,0.0114
8/3/2022,24.991,25.855,222768,7.6133,24.9992,24869860,978332,0.0119
8/2/2022,24.6837,25.5402,245508,17.8162,24.6948,42560170,1682680,0.0135
8/1/2022,24.8828,25.7433,180343,0,24.8912,23231750,916078,0.013
7/29/2022,24.9387,25.8043,148904,20.2732,24.9501,25096770,990436,0.0138
7/28/2022,24.6365,25.4894,167949,0,24.6457,37739080,1509815,0.014
7/27/2022,24.3613,25.1949,246140,10.0362,24.361,25942010,1052578,0.0133
7/26/2022,23.8053,24.6263,174828,29.7725,23.8111,34851890,1436519,0.0142
7/25/2022,24.0363,24.87,263535,2.4244,24.0467,32966620,1349630,0.0136
7/22/2022,23.9403,24.7583,157085,17.1356,23.9387,32663500,1340308,0.0149
7/21/2022,24.1747,25.0122,135988,4.8763,24.1842,52526490,2147691,0.0143
7/20/2022,24.0135,24.8395,356072,4.9241,24.0173,34330460,1407258,0.013
7/19/2022,23.8372,24.6567,242676,7.3368,23.8405,41471080,1715041,0.0153
7/18/2022,23.1599,23.956,214278,4.8553,23.163,40807820,1717489,0.0139
7/15/2022,23.2871,24.088,172193,23.5868,23.2907,54664170,2311569,0.0136
7/14/2022,22.8454,23.6209,186651,14.2298,22.839,53418070,2310116,0.013
7/13/2022,22.9682,23.7631,270984,34.8998,22.9765,75630310,3234225,0.0127
7/12/2022,23.0577,23.8646,170588,2.3392,23.0747,38519840,1629912,0.0122
7/11/2022,23.2063,24.0169,209845,9.3931,23.2219,32375520,1366658,0.0138
7/8/2022,23.4596,24.2708,139791,2.3634,23.4674,29602410,1238308,0.0139
7/7/2022,23.495,24.2911,179822,14.3352,23.4871,43176430,1806842,0.0119
7/6/2022,23.1005,23.9052,199769,26.3209,23.1139,59651470,2540898,0.0123
7/5/2022,23.0976,23.9052,204707,11.7632,23.1139,40528660,1744241,0.0128
7/1/2022,23.1113,23.8951,204289,11.7617,23.1041,48049420,2055250,0.014
6/30/2022,22.8824,23.6615,315923,0,22.8783,50670870,2174243,0.0135
6/29/2022,23.067,23.8443,376295,11.6521,23.055,51322030,2186170,0.0133
6/28/2022,23.1555,23.9459,338238,4.6984,23.1532,60496120,2542829,0.0124
6/27/2022,23.55,24.3724,248896,40.0899,23.5656,58100690,2419378,0.0133
6/24/2022,23.5323,24.3216,327655,0,23.5165,48783920,2047085,0.0128
6/23/2022,22.8188,23.6107,344842,2.3966,22.8292,82191940,3554902,0.0136
6/22/2022,22.6686,23.4584,600396,13.9436,22.6819,73034040,3155092,0.0138
6/21/2022,22.7529,23.5295,290976,50.7903,22.7509,99301260,4262848,0.0158
6/17/2022,22.2904,23.054,608793,-2.3262,22.2912,87467910,3831632,0.0122
6/16/2022,22.2312,23.0136,675137,36.4627,22.2521,1.25E+08,5508482,0.012
6/15/2022,23.1081,23.9038,429007,29.5473,23.1128,82378230,3485132,0.0125
6/14/2022,22.8582,23.6509,381991,-7.0876,22.8683,1.32E+08,5668978,0.0131
6/13/2022,22.9128,23.7014,421710,7.0109,22.9172,92044260,3911520,0.0112
6/10/2022,23.8494,24.6726,442659,21.0829,23.8562,50893990,2078237,0.012
6/9/2022,24.542,25.3908,391928,0,24.5506,22974500,904569,0.0134
6/8/2022,25.0945,25.9472,136685,10.0365,25.0886,26304060,1021668,0.0127
6/7/2022,25.4261,26.2911,135701,12.828,25.4211,37109210,1437387,0.0135
6/6/2022,25.1646,26.0382,171880,12.9976,25.1766,52009130,2019009,0.0128
6/3/2022,25.0586,25.9168,318252,5.1455,25.0592,30504340,1189577,0.014
6/2/2022,25.3753,26.2405,253244,15.3716,25.3722,51759640,2013120,0.0138
6/1/2022,24.9246,25.7853,149036,25.9431,24.9321,35202320,1380741,0.0128
5/31/2022,25.1021,25.9674,141591,25.4823,25.1081,41556090,1615484,0.0132
5/27/2022,25.3014,26.1697,44119,10.2655,25.3038,45494220,1769612,0.013
5/26/2022,24.7254,25.583,173977,10.347,24.7365,44185450,1748692,0.0123
5/25/2022,24.2022,25.0266,192061,12.6394,24.1985,48891300,1981815,0.013
5/24/2022,23.8994,24.7231,154663,12.3719,23.9051,39586680,1628011,0.0122
5/23/2022,24.1126,24.9558,224581,31.7645,24.13,46808270,1902611,0.0136
5/20/2022,23.7128,24.5411,154084,4.9304,23.729,50983120,2124577,0.0148
5/19/2022,23.7204,24.5411,166926,0,23.729,73794140,3031415,0.0133
5/18/2022,23.8408,24.6523,227946,-186.734,23.8366,69361100,2817973,0.0133
5/17/2022,24.8371,25.6842,202562,7.3123,24.8343,69634420,2747916,0.0141
5/16/2022,24.2778,25.1379,186915,279.3219,24.3061,46582780,1872172,0.0147
5/13/2022,24.3537,25.1784,188155,2.4821,24.3452,66101160,2658863,0.0136
5/12/2022,23.8025,24.6119,353615,-7.4696,23.7975,77498900,3211942,0.0154
5/11/2022,23.7448,24.5815,222816,12.1676,23.7681,75209270,3063973,0.0157
5/10/2022,24.1447,24.976,305917,0,24.1496,76644900,3108187,0.0142
5/9/2022,24.1217,24.976,293935,4.937,24.1496,47273370,1905564,0.0166
5/6/2022,24.8823,25.755,231403,17.2631,24.9027,66999870,2641690,0.0177
5/5/2022,25.0691,25.9269,313415,12.7196,25.069,37450910,1461894,0.0135
5/4/2022,25.9597,26.8374,220325,30.7561,25.9493,43968340,1691409,0.0177
5/3/2022,25.2181,26.0989,263307,29.1947,25.2353,66593130,2588051,0.016
5/2/2022,25.0451,25.9067,194019,0,25.0495,72792930,2867010,0.0135
4/29/2022,24.8802,25.7246,263291,5.1211,24.8734,28590700,1112406,0.016
4/28/2022,25.7212,26.6249,138359,5.0874,25.7439,29405960,1123290,0.0192
4/27/2022,25.1611,26.0079,107120,18.4078,25.1473,43802180,1696925,0.0163
4/26/2022,25.1002,25.9775,138271,-2.5724,25.1179,42715360,1649592,0.0152
4/25/2022,25.7942,26.6856,177572,25.6619,25.8026,40159060,1538918,0.0167
4/22/2022,25.6523,26.5238,186461,0,25.6461,41117920,1551399,0.0115
4/21/2022,26.3848,27.2723,212975,7.8679,26.3699,23944350,880320,0.0138
4/20/2022,26.8232,27.7377,141630,10.7901,26.8198,26794110,974690,0.0127
4/19/2022,26.7256,27.6365,101247,0,26.722,30880810,1132287,0.0163
4/18/2022,26.2606,27.151,172402,13.6619,26.2525,27667050,1030188,0.0134
4/14/2022,26.2759,27.1914,138551,5.3696,26.2917,28036890,1038608,0.0187
4/13/2022,26.5271,27.4544,133037,16.1183,26.546,36564010,1351313,0.0165
4/12/2022,26.1891,27.1004,270369,2.7121,26.2036,21604760,803365,0.014
4/11/2022,26.2399,27.1611,113736,5.355,26.2623,20980020,778180,0.0155
4/8/2022,26.5507,27.4645,107940,18.779,26.5558,17112360,628173,0.0163
4/7/2022,26.5801,27.505,72191,0,26.5949,24618890,909048,0.0146
4/6/2022,26.5007,27.4241,104693,13.5875,26.5166,25135280,927889,0.0137
4/5/2022,26.7804,27.7073,130489,5.4187,26.7905,32455700,1179625,0.0166
4/4/2022,27.154,28.0917,152020,8.2139,27.1622,25041870,903458,0.0159
4/1/2022,27.0337,27.9703,95977,13.8808,27.0448,28086620,1020094,0.0165
3/31/2022,26.9624,27.8995,211310,-5.5277,26.9763,44322600,1588550,0.0162
3/30/2022,27.3826,28.3345,201690,16.5394,27.3969,23876910,851298,0.0176
3/29/2022,27.6433,28.5874,102598,0,27.6415,26759520,949861,0.0192
3/28/2022,27.2515,28.203,208392,16.9571,27.2698,31488930,1136943,0.0195
3/25/2022,27.1841,28.1018,152309,8.3584,27.172,19730480,713022,0.017
3/24/2022,27.0466,27.9805,122784,2.7792,27.0546,24992080,907960,0.0159
3/23/2022,26.7075,27.6365,180069,22.1214,26.722,26712790,973056,0.0186
3/22/2022,27.0914,28.0411,216978,0,27.1133,18129570,654661,0.0172
3/21/2022,26.8454,27.7873,106680,33.2371,26.8673,17083190,621427,0.0197
3/18/2022,26.9002,27.8378,97985,0,26.9161,26787330,977638,0.0177
3/17/2022,26.6355,27.5652,108673,0,26.6526,21542190,794144,0.0174
3/16/2022,26.3269,27.2523,126668,10.917,26.35,32841400,1229321,0.0173
