Date,FUND_NET_ASSET_VAL,TOT_RETURN_INDEX_GROSS_DVDS,ALL_BROKERS_ADV_TOT_AGGR_VOL,FUND_FLOW,PX_LAST,TURNOVER,PX_VOLUME,AVERAGE_BID_ASK_SPREAD
1/30/2019,45.2439,51.8652,1103878,40.1443,45.2727,65397520,1299963,0.009
1/29/2019,45.2307,51.8549,692452,30.1728,45.2637,1.36E+08,2708315,0.0093
1/28/2019,45.2219,51.8137,2564634,2.5137,45.2278,61233100,1217809,0.0091
1/25/2019,45.2074,51.8137,643685,2.5132,45.2278,81090750,1613408,0.0091
1/24/2019,45.1993,51.793,594759,17.5866,45.2098,85070820,1692551,0.0091
1/23/2019,45.1884,51.7827,1003298,32.6549,45.2008,97270910,1935882,0.0091
1/22/2019,45.1791,51.7621,1233966,12.5566,45.1828,80593280,1604465,0.0097
1/18/2019,45.1599,51.757,657930,0,45.1783,78826290,1569669,0.0093
1/17/2019,45.1558,51.7467,507196,0,45.1693,70990380,1414138,0.0091
1/16/2019,45.1473,51.7312,493906,22.5855,45.1558,89475330,1782564,0.0091
1/15/2019,45.1396,51.7415,1285905,15.0542,45.1648,48737850,971135,0.0091
1/14/2019,45.1308,51.7106,589991,20.0688,45.1378,1.02E+08,2022827,0.009
1/11/2019,45.1189,51.7209,609617,30.0973,45.1468,68120850,1357772,0.009
1/10/2019,45.1103,51.7106,1279414,35.1043,45.1378,91439690,1823043,0.009
1/9/2019,45.102,51.659,1167263,0,45.0928,98801380,1970819,0.009
1/8/2019,45.0941,51.659,936373,0,45.0928,1.35E+08,2692443,0.009
1/7/2019,45.0902,51.659,927147,-5.0122,45.0928,79664910,1589409,0.0092
1/4/2019,45.0825,51.6694,779818,0,45.1018,1.05E+08,2096001,0.0092
1/3/2019,45.0865,51.6694,1098071,0,45.1018,79751690,1591202,0.0093
1/2/2019,45.0759,51.6281,1153841,0,45.0658,3.37E+08,6719965,0.009
12/31/2018,45.0678,51.6694,3325475,-62.6265,45.1018,1.84E+08,3673434,0.0091
12/28/2018,45.06,51.659,2822094,27.5507,45.0928,1.34E+08,2665998,0.009
12/27/2018,45.0499,51.6163,2615459,2.5042,45.0554,3.68E+08,7332958,0.0091
12/26/2018,45.0404,51.5957,2530737,100.368,45.0374,1.62E+08,3233131,0.0092
12/24/2018,45.0415,51.6163,2055973,0,45.0554,82650020,1647232,0.0102
12/21/2018,45.0257,51.6266,2485755,40.1396,45.0644,2.90E+08,5782128,0.0097
12/20/2018,45.0211,51.606,4013134,60.1883,45.0464,1.64E+08,3275446,0.009
12/19/2018,45.0182,51.606,1538542,2.5076,45.0464,96578550,1924836,0.0095
12/18/2018,45.0174,51.6008,640411,32.5966,45.0419,83687130,1667884,0.0094
12/17/2018,45.0137,51.5854,1300072,5.0148,45.0285,1.14E+08,2270655,0.0092
12/14/2018,44.9991,51.5649,1164281,20.0574,45.0105,3.50E+08,6988241,0.0092
12/13/2018,44.9924,51.5751,1055465,32.5827,45.0195,68246260,1360959,0.0092
12/12/2018,44.9898,51.5751,1055507,5.012,45.0195,75507240,1505754,0.009
12/11/2018,44.9896,51.5649,982514,7.5175,45.0105,95275990,1899896,0.009
12/10/2018,44.9918,51.5751,1326714,82.6926,45.0195,88322030,1761364,0.0091
12/7/2018,44.9828,51.5649,1158576,27.5655,45.0105,75596280,1507755,0.009
12/6/2018,44.978,51.5751,1256522,65.1419,45.0195,1.58E+08,3155535,0.009
12/4/2018,44.9848,51.5854,1917869,47.5986,45.0285,1.01E+08,2020944,0.0093
12/3/2018,44.9873,51.5443,938536,40.0891,44.9926,70349480,1403177,0.0093
11/30/2018,44.9817,51.5649,730596,120.274,45.0105,1.56E+08,3103687,0.0096
11/29/2018,44.9813,51.5579,814179,50.1079,45.0044,61209790,1218462,0.0096
11/28/2018,44.9808,51.5673,663940,32.6333,45.0126,43340290,862748,0.0093
11/27/2018,44.9781,51.557,703163,2.5102,45.0036,42414700,844312,0.009
11/26/2018,44.9798,51.5673,590865,55.2216,45.0126,60143870,1197226,0.0092
11/23/2018,44.9754,51.557,409418,5.0203,45.0036,16174150,322041,0.0099
11/21/2018,44.9695,51.5467,239194,27.6092,44.9947,1.14E+08,2265916,0.009
11/20/2018,44.9679,51.5467,1469012,80.307,44.9947,1.48E+08,2944592,0.0091
11/19/2018,44.9706,51.5467,3230326,120.456,44.9947,1.23E+08,2452601,0.0092
11/16/2018,44.9604,51.5365,1887788,105.406,44.9857,2.92E+08,5822514,0.0091
11/15/2018,44.9547,51.5365,4574988,233.345,44.9857,55652900,1108462,0.009
11/14/2018,44.9562,51.5365,461187,35.1228,44.9857,55291940,1101282,0.009
11/13/2018,44.9532,51.5262,901729,120.425,44.9768,1.76E+08,3508726,0.009
11/12/2018,44.9511,51.5159,259093,5.0174,44.9678,59910530,1193792,0.009
