Ticker,Security Name,Sector,Industry,Price,Weight,Return,Contribution
DOW,Dow Inc.,Materials,Chemicals,49.24,0.15%,-2.30%,-0.37
ROST,Ross Stores Inc.,Consumer Discretionary,Specialty Retail,122.36,0.15%,28.75%,3.51
PCAR,PACCAR Inc,Industrials,Machinery,87.96,0.15%,34.40%,4.01
ZTS,Zoetis Inc.,Health Care,Pharmaceuticals,168.83,0.15%,14.69%,1.99
ITW,Illinois Tool Works Inc.,Industrials,Machinery,232.11,0.14%,4.87%,0.71
CSX,CSX Corporation,Industrials,Ground Transportation,30.45,0.14%,-3.33%,-0.52
FANG,Diamondback Energy Inc.,Energy,Oil Gas and Consumable Fuels,158.18,0.14%,0.79%,0.12
MDLZ,Mondelez International Inc.,Consumer Staples,Food Products,69.30,0.14%,9.39%,1.27
OKE,ONEOK Inc.,Energy,Oil Gas and Consumable Fuels,64.66,0.14%,5.94%,0.81
MCHP,Microchip Technology Incorporated,Information Technology,Semiconductors and Semiconductor Equipment,76.62,0.13%,2.95%,0.41
BLDR,Builders FirstSource Inc.,Industrials,Building Products,123.38,0.13%,87.28%,6.59
ADI,Analog Devices Inc.,Information Technology,Semiconductors and Semiconductor Equipment,170.66,0.13%,5.98%,0.80
PXD,Pioneer Natural Resources Company,Energy,Oil Gas and Consumable Fuels,235.99,0.13%,-0.54%,-0.08
HES,Hess Corporation,Energy,Oil Gas and Consumable Fuels,142.68,0.13%,-0.82%,-0.11
PRU,Prudential Financial Inc.,Financials,Insurance,91.50,0.13%,-12.51%,-1.98
BK,The Bank of New York Mellon Corporation,Financials,Capital Markets,45.40,0.13%,5.70%,0.74
ETN,Eaton Corporation plc,Industrials,Electrical Equipment,222.57,0.13%,40.23%,3.91
MDT,Medtronic plc,Health Care,Health Care Equipment and Supplies,72.08,0.13%,-10.77%,-1.63
LNG,Cheniere Energy Inc.,Energy,Oil Gas and Consumable Fuels,170.92,0.13%,6.76%,0.85
LEN,Lennar Corporation,Consumer Discretionary,Household Durables,122.25,0.13%,40.76%,3.84
CHTR,Charter Communications Inc.,Communication Services,Media,406.41,0.13%,3.05%,0.39
DAL,Delta Air Lines Inc.,Industrials,Passenger Airlines,34.17,0.13%,-3.11%,-0.42
DFS,Discover Financial Services,Financials,Consumer Finance,83.81,0.12%,-20.94%,-3.49
ON,ON Semiconductor Corporation,Information Technology,Semiconductors and Semiconductor Equipment,66.65,0.12%,-11.19%,-1.66
FDX,FedEx Corporation,Industrials,Air Freight and Logistics,245.39,0.12%,42.96%,3.94
CMI,Cummins Inc.,Industrials,Machinery,217.43,0.12%,-9.98%,-1.45
STLD,Steel Dynamics Inc.,Materials,Metals and Mining,107.44,0.12%,12.77%,1.47
TGT,Target Corporation,Consumer Staples,Consumer Staples Distribution and Retail,107.30,0.12%,-35.69%,-7.15
GE,General Electric Company,Industrials,Industrial Conglomerates,115.52,0.12%,72.09%,5.37
CB,Chubb Limited,Financials,Insurance,222.00,0.12%,9.47%,1.10
PHM,PulteGroup Inc.,Consumer Discretionary,Household Durables,82.04,0.12%,86.88%,5.88
HUM,Humana Inc.,Health Care,Health Care Providers and Services,497.15,0.12%,-5.26%,-0.70
VRSK,Verisk Analytics Inc.,Industrials,Professional Services,238.51,0.12%,34.67%,3.18
AIG,American International Group Inc.,Financials,Insurance,63.73,0.12%,8.11%,0.92
MMM,3M Company,Industrials,Industrial Conglomerates,92.69,0.12%,-26.38%,-4.39
ALL,The Allstate Corporation,Financials,Insurance,129.85,0.11%,1.28%,0.15
AME,AMETEK Inc.,Industrials,Electrical Equipment,151.38,0.11%,9.75%,1.07
IDXX,IDEXX Laboratories Inc.,Health Care,Health Care Equipment and Supplies,432.39,0.11%,-2.01%,-0.24
AON,Aon plc,Financials,Insurance,333.61,0.11%,14.72%,1.51
CTAS,Cintas Corporation,Industrials,Commercial Services and Supplies,536.27,0.11%,22.38%,2.13
PM,Philip Morris International Inc.,Consumer Staples,Tobacco,90.00,0.11%,0.48%,0.06
PSX,Phillips 66,Energy,Oil Gas and Consumable Fuels,114.15,0.11%,6.65%,0.73
CNC,Centene Corporation,Health Care,Health Care Providers and Services,72.14,0.11%,-12.10%,-1.60
RSG,Republic Services Inc.,Industrials,Commercial Services and Supplies,158.40,0.11%,22.62%,2.14
CDW,CDW Corporation,Information Technology,Electronic Equipment Instruments and Components,211.97,0.11%,16.42%,1.63
SHW,The Sherwin-Williams Company,Materials,Chemicals,253.89,0.11%,8.10%,0.86
GIS,General Mills Inc.,Consumer Staples,Food Products,65.16,0.11%,-13.10%,-1.74
HIG,The Hartford Financial Services Group Inc.,Financials,Insurance,74.24,0.11%,3.20%,0.35
CTSH,Cognizant Technology Solutions Corporation,Information Technology,IT Services,65.68,0.11%,14.44%,1.44
AFL,Aflac Incorporated,Financials,Insurance,81.43,0.11%,19.24%,1.83
SYY,Sysco Corporation,Consumer Staples,Consumer Staples Distribution and Retail,67.23,0.11%,-18.21%,-2.52
FIS,Fidelity National Information Services Inc.,Financials,Financial Services,52.39,0.11%,-17.12%,-2.33
BSX,Boston Scientific Corporation,Health Care,Health Care Equipment and Supplies,53.71,0.11%,26.32%,2.35
GEHC,GE HealthCare Technologies Inc.,Health Care,Health Care Equipment and Supplies,70.01,0.11%,,
FCX,Freeport-McMoRan Inc.,Materials,Metals and Mining,33.43,0.11%,-10.82%,-1.36
A,Agilent Technologies Inc.,Health Care,Life Sciences Tools and Services,107.46,0.11%,-27.03%,-4.14
EA,Electronic Arts Inc.,Communication Services,Entertainment,132.68,0.11%,1.74%,0.19
NSC,Norfolk Southern Corporation,Industrials,Ground Transportation,199.07,0.11%,-18.64%,-2.56
BKNG,Booking Holdings Inc.,Consumer Discretionary,Hotels Restaurants and Leisure,3119.21,0.11%,54.74%,3.94
C,Citigroup Inc.,Financials,Banks,42.70,0.10%,-10.99%,-1.37
COF,Capital One Financial Corporation,Financials,Consumer Finance,104.37,0.10%,-8.14%,-0.98
INTU,Intuit Inc.,Information Technology,Software,532.18,0.10%,31.37%,2.62
ODFL,Old Dominion Freight Line Inc.,Industrials,Ground Transportation,391.01,0.10%,25.03%,2.18
BLK,BlackRock Inc.,Financials,Capital Markets,661.45,0.10%,-12.14%,-1.50
COR,Cencora Inc.,Health Care,Health Care Providers and Services,198.87,0.10%,31.43%,2.56
FI,Fiserv Inc.,Financials,Financial Services,121.56,0.10%,20.99%,1.85
TEL,TE Connectivity Ltd.,Information Technology,Electronic Equipment Instruments and Components,124.97,0.10%,2.53%,0.26
LOW,Lowe's Companies Inc.,Consumer Discretionary,Specialty Retail,193.84,0.10%,-5.32%,-0.59
