Ticker,Security Name,Sector,Industry,Price,Weight,Return,Contribution
TTWO,Take-Two Interactive Software Inc.,Communication Services,Entertainment,150.09,0.23%,46.79%,11.54
UBER,Uber Technologies Inc.,Industrials,Ground Transportation,52.24,0.22%,79.21%,15.52
UPS,United Parcel Service Inc.,Industrials,Air Freight and Logistics,138.17,0.22%,-19.38%,-8.16
FLT,FLEETCOR Technologies Inc.,Financials,Financial Services,229.14,0.21%,14.68%,4.18
LULU,Lululemon Athletica Inc.,Consumer Discretionary,Textiles Apparel and Luxury Goods,416.98,0.17%,15.92%,3.66
CTSH,Cognizant Technology Solutions Corporation,Information Technology,IT Services,65.68,0.14%,14.44%,2.73
SGEN,Seagen Inc.,Health Care,Biotechnology,213.20,0.12%,60.41%,7.07
ABNB,Airbnb Inc.,Consumer Discretionary,Hotels Restaurants and Leisure,119.15,0.11%,8.74%,1.43
ROST,Ross Stores Inc.,Consumer Discretionary,Specialty Retail,122.36,0.10%,28.75%,3.62
TTD,The Trade Desk Inc.,Communication Services,Media,63.46,0.10%,30.12%,3.67
NKE,NIKE Inc.,Consumer Discretionary,Textiles Apparel and Luxury Goods,104.20,,-0.54%,
[object Object],NDX_2,Unclassified,Unclassified,,3.19%,,
[object Object],NDX_9,Unclassified,Unclassified,,3.18%,,
[object Object],NDX_8,Unclassified,Unclassified,,3.14%,,
[object Object],NDX_10,Unclassified,Unclassified,,2.95%,,
[object Object],NDX_1,Unclassified,Unclassified,,2.81%,,
[object Object],JPMORGAN US GOVT MMKT FUND IM SHARES  RESTRICTED ,Unclassified,Unclassified,,0.85%,,
[object Object],COLLATERAL USD,Unclassified,Unclassified,,0.00%,,
[object Object],NDX_8,Unclassified,Unclassified,,,,
[object Object],NDX_7,Unclassified,Unclassified,,,,
[object Object],NDX_8,Unclassified,Unclassified,,,,
[object Object],NDX_9,Unclassified,Unclassified,,,,
[object Object],NDX_10,Unclassified,Unclassified,,,,
[object Object],NDX_1,Unclassified,Unclassified,,,,
[object Object],NDX_3,Unclassified,Unclassified,,,,
[object Object],NDX_2,Unclassified,Unclassified,,,,
[object Object],NDX_3,Unclassified,Unclassified,,,,
[object Object],NDX_10,Unclassified,Unclassified,,,,
[object Object],NDX_01,Unclassified,Unclassified,,,,
[object Object],NDX_2,Unclassified,Unclassified,,,,
[object Object],NDX_9,Unclassified,Unclassified,,,,
[object Object],NDX_4,Unclassified,Unclassified,,,,
[object Object],NDX_5,Unclassified,Unclassified,,,,
[object Object],NDX_6,Unclassified,Unclassified,,,,
[object Object],USD FUTURES INCOME,Unclassified,Unclassified,,,,
[object Object],UNITS,Unclassified,Unclassified,,,,
[object Object],US SDOLLAR CALL A/C,Unclassified,Unclassified,,,,
[object Object],JPMORGAN PRIME MONEYMARKET FUND  IM SHARE  FUND,Unclassified,Unclassified,,,,
[object Object],U.S. DOLLAR,Unclassified,Unclassified,,,,
[object Object],U.S. DOLLAR FOR FUTURES,Unclassified,Unclassified,,,,
[object Object],COLLATERAL USD,Unclassified,Unclassified,,,,
[object Object],NDX_4,Unclassified,Unclassified,,,,
[object Object],NDX_5,Unclassified,Unclassified,,,,
[object Object],NDX_6,Unclassified,Unclassified,,,,
[object Object],NDX_7,Unclassified,Unclassified,,,,
RY 71.11 09/26/23,ROYAL BANK OF CANADA MEDIUM TERM NOTE FIXED 71.11%,Unclassified,Unclassified,,,,
[object Object],NASDAQ 100 E-MINI EQUITY INDEX 15/SEP/2023 NQU3,Unclassified,Unclassified,,,,
[object Object],SECURITY LENDING INCOME TRANSFER,Unclassified,Unclassified,,,,
[object Object],CASH,Unclassified,Unclassified,,0.00%,,
[object Object],U.S. DOLLAR FOR FUTURES,Unclassified,Unclassified,,0.00%,,
